"filename", "language", "JSON", "JavaScript JSX", "Markdown", "HTML", "XML", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\DashboardAppPage.js", "JavaScript", 0, 0, 0, 0, 0, 207, 0, 4, 20, 231
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\IAssetPage.js", "JavaScript", 0, 0, 0, 0, 0, 30, 0, 5, 8, 43
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\LogBookPage.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 2, 8, 27
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\LoginPage.js", "JavaScript", 0, 0, 0, 0, 0, 95, 0, 12, 18, 125
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\MonitoringPage.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 2, 8, 27
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\Page404.js", "JavaScript", 0, 0, 0, 0, 0, 45, 0, 3, 10, 58
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\ProductsPage.js", "JavaScript", 0, 0, 0, 0, 0, 38, 0, 4, 9, 51
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\TopologyPage.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 2, 8, 27
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\UserPage.js", "JavaScript", 0, 0, 0, 0, 0, 248, 0, 6, 41, 295
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\WorksheetPage.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 2, 9, 28
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\routes.js", "JavaScript", 0, 0, 0, 0, 0, 47, 0, 10, 8, 65
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppConversionRates.js", "JavaScript", 0, 0, 0, 0, 0, 39, 0, 4, 8, 51
